node_id,event_id,event_type,trecis_id
0,fireColorado2012,wildfire,TRECIS-CTIT-H-001
1,costaRicaEarthquake2012,earthquake,TRECIS-CTIT-H-002
2,floodColorado2013,flood,TRECIS-CTIT-H-003
3,typhoonPablo2012,typhoon,TRECIS-CTIT-H-004
4,laAirportShooting2013,shooting,TRECIS-CTIT-H-005
5,westTexasExplosion2013,bombing,TRECIS-CTIT-H-006
6,guatemalaEarthquake2012,earthquake,TRECIS-CTIT-H-007
7,italyEarthquakes2012,earthquake,TRECIS-CTIT-H-008
8,philipinnesFloods2012,flood,TRECIS-CTIT-H-009
9,albertaFloods2013,flood,TRECIS-CTIT-H-010
10,australiaBushfire2013,wildfire,TRECIS-CTIT-H-011
11,bostonBombings2013,bombing,TRECIS-CTIT-H-012
12,manilaFloods2013,flood,TRECIS-CTIT-H-013
13,queenslandFloods2013,flood,TRECIS-CTIT-H-014
14,typhoonYolanda2013,typhoon,TRECIS-CTIT-H-015
15,joplinTornado2011,typhoon,TRECIS-CTIT-H-016
16,chileEarthquake2014,earthquake,TRECIS-CTIT-H-017
17,typhoonHagupit2014,typhoon,TRECIS-CTIT-H-018
18,nepalEarthquake2015,earthquake,TRECIS-CTIT-H-019
19,flSchoolShooting2018,shooting,TRECIS-CTIT-H-020
20,parisAttacks2015,bombing,TRECIS-CTIT-H-021
21,floodChoco2019,flood,TRECIS-CTIT-H-022
22,fireAndover2019,wildfire,TRECIS-CTIT-H-023
23,earthquakeCalifornia2014,earthquake,TRECIS-CTIT-H-024
24,earthquakeBohol2013,earthquake,TRECIS-CTIT-H-025
25,hurricaneFlorence2018,typhoon,TRECIS-CTIT-H-026
26,shootingDallas2017,shooting,TRECIS-CTIT-H-027
27,fireYMM2016,wildfire,TRECIS-CTIT-H-028
28,albertaWildfires2019,wildfire,TRECIS-CTIT-H-029
29,cycloneKenneth2019,typhoon,TRECIS-CTIT-H-030
30,philippinesEarthquake2019,earthquake,TRECIS-CTIT-H-031
31,coloradoStemShooting2019,shooting,TRECIS-CTIT-H-032
32,southAfricaFloods2019,flood,TRECIS-CTIT-H-033
33,sandiegoSynagogueShooting2019,shooting,TRECIS-CTIT-H-034
